source,target,value,level
Mathematics,Computer science,161,0
Computer science,Physics,28,0
Computer science,Geology,23,0
Materials science,Computer science,15,0
Environmental science,Computer science,9,0
Psychology,Computer science,9,0
Chemistry,Computer science,7,0
Computer science,Medicine,7,0
Biology,Computer science,4,0
Environmental science,Geology,3,0
Geography,Geology,2,0
Business,Computer science,2,0
Mathematics,Physics,2,0
Environmental science,Geography,1,0
Engineering,Computer science,1,0
Environmental science,Physics,1,0
Political science,Computer science,1,0
Biology,Materials science,1,0
Geography,Computer science,1,0
Sociology,Computer science,1,0
Artificial intelligence,Computer vision,400,1
Artificial intelligence,Data mining,373,1
Data science,Human–computer interaction,287,1
Computer graphics (images),Computer vision,234,1
Computer graphics (images),Artificial intelligence,232,1
Artificial intelligence,Machine learning,222,1
Computer vision,Artificial intelligence,183,1
Data mining,Machine learning,175,1
Data mining,Information retrieval,175,1
Data mining,Data science,169,1
Artificial intelligence,Human–computer interaction,167,1
Data science,Information retrieval,152,1
Data mining,Theoretical computer science,149,1
Artificial intelligence,Algorithm,138,1
Artificial intelligence,Computer graphics (images),124,1
Data science,World Wide Web,124,1
Computer vision,Computer graphics (images),118,1
Computer graphics (images),Human–computer interaction,113,1
Computer graphics (images),Algorithm,110,1
Artificial intelligence,Data science,97,1
Artificial intelligence,Theoretical computer science,96,1
Multimedia,Human–computer interaction,92,1
Computer vision,Algorithm,90,1
Artificial intelligence,Information retrieval,90,1
World Wide Web,Human–computer interaction,87,1
Computer graphics (images),Computational science,87,1
Theoretical computer science,Algorithm,85,1
Information retrieval,Human–computer interaction,80,1
Algorithm,Theoretical computer science,76,1
Computational science,Algorithm,73,1
Human–computer interaction,Information retrieval,72,1
Data mining,Human–computer interaction,69,1
Data mining,Algorithm,68,1
World Wide Web,Information retrieval,62,1
Human–computer interaction,Data science,60,1
Machine learning,Data science,56,1
Data mining,Computer vision,50,1
Computer vision,Human–computer interaction,49,1
Computer graphics (images),Theoretical computer science,49,1
Machine learning,Human–computer interaction,45,1
Data science,Multimedia,40,1
Multimedia,World Wide Web,40,1
Human–computer interaction,Data mining,38,1
Data science,Artificial intelligence,38,1
Artificial intelligence,Natural language processing,37,1
Data science,Data mining,36,1
Software engineering,Human–computer interaction,35,1
Computer graphics (images),Parallel computing,34,1
Human–computer interaction,Artificial intelligence,33,1
Data science,Software engineering,33,1
Computer graphics (images),Data mining,32,1
Natural language processing,Information retrieval,31,1
Theoretical computer science,Data mining,30,1
Data science,Knowledge management,30,1
Data science,Machine learning,30,1
Information retrieval,Data science,29,1
Machine learning,Theoretical computer science,28,1
Data science,Theoretical computer science,28,1
Mathematical optimization,Algorithm,27,1
Information retrieval,Data mining,26,1
Information retrieval,Artificial intelligence,26,1
Information retrieval,Theoretical computer science,26,1
Information retrieval,World Wide Web,25,1
Computational science,Theoretical computer science,24,1
Human–computer interaction,World Wide Web,24,1
Geometry,Algorithm,22,1
Computer graphics (images),Information retrieval,22,1
Parallel computing,Algorithm,22,1
Theoretical computer science,Information retrieval,21,1
Human–computer interaction,Theoretical computer science,21,1
Geometry,Computer vision,20,1
Human–computer interaction,Machine learning,19,1
Knowledge management,Human–computer interaction,19,1
Information retrieval,Machine learning,18,1
Engineering drawing,Human–computer interaction,17,1
Computer graphics (images),Multimedia,17,1
Human–computer interaction,Computer graphics (images),17,1
Applied mathematics,Algorithm,16,1
Parallel computing,Computational science,16,1
Human–computer interaction,Software engineering,14,1
Computer graphics (images),Engineering drawing,13,1
Software engineering,Programming language,13,1
Human–computer interaction,Programming language,13,1
Data mining,Distributed computing,12,1
Computer graphics (images),Computer hardware,12,1
Theoretical computer science,Human–computer interaction,12,1
Data mining,World Wide Web,12,1
Management science,Data science,12,1
Computational science,Computer vision,12,1
Algorithm,Artificial intelligence,12,1
Theoretical computer science,Computational science,11,1
Computer graphics (images),Geometry,11,1
Distributed computing,Theoretical computer science,11,1
Data mining,Database,10,1
Cognitive psychology,Human–computer interaction,10,1
Data mining,Artificial intelligence,10,1
Machine learning,Information retrieval,10,1
Algorithm,Computer vision,10,1
Multimedia,Information retrieval,10,1
Human–computer interaction,Computer vision,10,1
Human–computer interaction,Natural language processing,10,1
Parallel computing,Theoretical computer science,10,1
Database,Information retrieval,10,1
Knowledge management,World Wide Web,9,1
Artificial intelligence,Multimedia,9,1
Natural language processing,Artificial intelligence,9,1
Programming language,Theoretical computer science,9,1
Distributed computing,Human–computer interaction,9,1
Artificial intelligence,Geometry,9,1
Computational science,Parallel computing,9,1
Computational science,Artificial intelligence,8,1
Parallel computing,Distributed computing,8,1
Classical mechanics,Mechanics,8,1
Computer graphics (images),Programming language,8,1
Combinatorics,Algorithm,8,1
Geometry,Artificial intelligence,8,1
Optics,Computer vision,8,1
Natural language processing,Machine learning,8,1
Programming language,Human–computer interaction,7,1
Computer vision,Information retrieval,7,1
Computer graphics (images),Simulation,7,1
Information retrieval,Computer graphics (images),7,1
Natural language processing,Human–computer interaction,7,1
Artificial intelligence,Statistics,7,1
Natural language processing,Data science,7,1
Human–computer interaction,Multimedia,7,1
Computer graphics (images),Data science,7,1
Computer vision,Theoretical computer science,7,1
Mathematical analysis,Algorithm,7,1
Theoretical computer science,Computer graphics (images),7,1
Theoretical computer science,Data science,6,1
Management science,Human–computer interaction,6,1
Information retrieval,Natural language processing,6,1
Information retrieval,Programming language,6,1
Theoretical computer science,Parallel computing,6,1
Management science,Knowledge management,6,1
Artificial intelligence,Medical physics,6,1
Data mining,Computational biology,6,1
World Wide Web,Software engineering,6,1
Artificial intelligence,World Wide Web,6,1
Machine learning,Computer vision,6,1
Machine learning,Algorithm,6,1
Computer graphics (images),World Wide Web,6,1
Natural language processing,World Wide Web,6,1
Programming language,Data mining,5,1
Simulation,Human–computer interaction,5,1
Cognitive psychology,Data science,5,1
Cognitive science,Human–computer interaction,5,1
Data science,Computer vision,5,1
Artificial intelligence,Radiology,5,1
Theoretical computer science,Programming language,5,1
Computer architecture,Parallel computing,5,1
Geometry,Computer graphics (images),5,1
Combinatorics,Geometry,5,1
Data mining,Computer graphics (images),5,1
Computer hardware,Artificial intelligence,5,1
Real-time computing,Computer vision,5,1
Multimedia,Computer graphics (images),5,1
Distributed computing,Software engineering,5,1
Data science,Computer graphics (images),5,1
Data science,Natural language processing,5,1
Information retrieval,Multimedia,5,1
Data mining,Computational science,5,1
Theoretical computer science,Artificial intelligence,5,1
Engineering drawing,Computer graphics (images),5,1
Computer security,Data science,5,1
Data mining,Statistics,5,1
Mathematical analysis,Geometry,5,1
Computer hardware,Computer vision,4,1
