Year,DOI,Title,Number of Authors,Author Name,Author Position,Author Position Type,OpenAlex Author ID,Author ORCID,Number of Affiliations,First Institution Name,Raw Affiliation String,First Institution ID,First Institution ROR,First Institution Type,First Institution Country Code
2008,10.1109/TVCG.2008.118,Color Design for Illustrative Visualization,5,Lujin Wang,1,first,https://openalex.org/A2149589983,,1.0,Stony Brook University,"Center for Visual Comput., Stony Brook Univ., Stony Brook, NY",https://openalex.org/I59553526,https://ror.org/05qghxh33,education,US
2008,10.1109/TVCG.2008.118,Color Design for Illustrative Visualization,5,Joachim Giesen,2,middle,https://openalex.org/A2170741153,,1.0,Friedrich Schiller University Jena,"Friedrich-Schiller-Universität, Jena.",https://openalex.org/I76198965,https://ror.org/05qpz1x62,education,DE
2008,10.1109/TVCG.2008.118,Color Design for Illustrative Visualization,5,Kevin T. McDonnell,3,middle,https://openalex.org/A2170555753,,1.0,Dowling College,#N#Dowling College#N#,https://openalex.org/I162646704,https://ror.org/011ezgm44,education,US
2008,10.1109/TVCG.2008.118,Color Design for Illustrative Visualization,5,Peter Zolliker,4,middle,https://openalex.org/A31329359,https://orcid.org/0000-0003-0935-0253,1.0,Swiss Federal Laboratories for Materials Science and Technology,[EMPA Dübendorf],https://openalex.org/I71824836,https://ror.org/02x681a42,facility,CH
2008,10.1109/TVCG.2008.118,Color Design for Illustrative Visualization,5,Klaus Mueller,5,last,https://openalex.org/A2162237831,https://orcid.org/0000-0002-0996-8590,1.0,Stony Brook University,Stony Brook University,https://openalex.org/I59553526,https://ror.org/05qghxh33,education,US
2009,10.1109/VAST.2009.5333919,Visual opinion analysis of customer feedback data,7,Daniela Oelke,1,first,https://openalex.org/A2049801381,,1.0,University of Konstanz,University of Konstanz Germany,https://openalex.org/I189712700,https://ror.org/0546hnb39,education,DE
2009,10.1109/VAST.2009.5333919,Visual opinion analysis of customer feedback data,7,Ming Hao,2,middle,https://openalex.org/A2508991934,,1.0,Hewlett-Packard,"Hewlett Packard Labs., Palo Alto, CA, USA",https://openalex.org/I1324840837,https://ror.org/059rn9488,company,US
2009,10.1109/VAST.2009.5333919,Visual opinion analysis of customer feedback data,7,Christian Rohrdantz,3,middle,https://openalex.org/A2003201492,,1.0,University of Konstanz,University of Konstanz Germany,https://openalex.org/I189712700,https://ror.org/0546hnb39,education,DE
2009,10.1109/VAST.2009.5333919,Visual opinion analysis of customer feedback data,7,Daniel A. Keim,4,middle,https://openalex.org/A2147343253,https://orcid.org/0000-0001-7966-9740,1.0,University of Konstanz,University of Konstanz Germany,https://openalex.org/I189712700,https://ror.org/0546hnb39,education,DE
2009,10.1109/VAST.2009.5333919,Visual opinion analysis of customer feedback data,7,Umeshwar Dayal,5,middle,https://openalex.org/A689294964,,1.0,Hewlett-Packard,"Hewlett Packard Labs., Palo Alto, CA, USA",https://openalex.org/I1324840837,https://ror.org/059rn9488,company,US
2009,10.1109/VAST.2009.5333919,Visual opinion analysis of customer feedback data,7,Lars-Erik Haug,6,middle,https://openalex.org/A2143638546,,1.0,Hewlett-Packard,"Hewlett Packard Labs., Palo Alto, CA, USA",https://openalex.org/I1324840837,https://ror.org/059rn9488,company,US
2009,10.1109/VAST.2009.5333919,Visual opinion analysis of customer feedback data,7,Halldór Janetzko,7,last,https://openalex.org/A1180447748,,1.0,University of Konstanz,University of Konstanz Germany,https://openalex.org/I189712700,https://ror.org/0546hnb39,education,DE
2009,10.1109/TVCG.2009.138,Depth-Dependent Halos: Illustrative Rendering of Dense Line Data,4,Maarten H. Everts,1,first,https://openalex.org/A2803591679,https://orcid.org/0000-0002-5302-8985,1.0,University of Groningen,"University of Groningen, Groningen Netherlands",https://openalex.org/I169381384,https://ror.org/012p63287,education,NL
2009,10.1109/TVCG.2009.138,Depth-Dependent Halos: Illustrative Rendering of Dense Line Data,4,Henk Bekker,2,middle,https://openalex.org/A1915498832,,1.0,University of Groningen,"University of Groningen, Groningen Netherlands",https://openalex.org/I169381384,https://ror.org/012p63287,education,NL
2009,10.1109/TVCG.2009.138,Depth-Dependent Halos: Illustrative Rendering of Dense Line Data,4,Jos B. T. M. Roerdink,3,middle,https://openalex.org/A323429155,https://orcid.org/0000-0003-1092-9633,1.0,University of Groningen,"University of Groningen, Groningen Netherlands",https://openalex.org/I169381384,https://ror.org/012p63287,education,NL
2009,10.1109/TVCG.2009.138,Depth-Dependent Halos: Illustrative Rendering of Dense Line Data,4,Tobias Isenberg,4,last,https://openalex.org/A1672749942,https://orcid.org/0000-0001-7953-8644,1.0,University of Groningen,"University of Groningen, Groningen Netherlands",https://openalex.org/I169381384,https://ror.org/012p63287,education,NL
2012,10.1109/TVCG.2012.291,Whisper: Tracing the Spatiotemporal Process of Information Diffusion in Real Time,6,Nan Cao,1,first,https://openalex.org/A2101761023,https://orcid.org/0000-0003-1316-7515,1.0,Hong Kong University of Science and Technology,"Hong Kong University of Science and Technology, Hong Kong , China",https://openalex.org/I200769079,https://ror.org/00q4vv597,education,CN
2012,10.1109/TVCG.2012.291,Whisper: Tracing the Spatiotemporal Process of Information Diffusion in Real Time,6,Yu-Ru Lin,2,middle,https://openalex.org/A2155397203,https://orcid.org/0000-0002-8497-3015,1.0,Northeastern University," Northeastern University , Boston, MA, USA.",https://openalex.org/I12912129,https://ror.org/04t5xt781,education,US
2012,10.1109/TVCG.2012.291,Whisper: Tracing the Spatiotemporal Process of Information Diffusion in Real Time,6,Xiaohua Sun,3,middle,https://openalex.org/A2122053360,,1.0,Tongji University,"Tongji University Shanghai, China",https://openalex.org/I116953780,https://ror.org/03rc6as71,education,CN
2012,10.1109/TVCG.2012.291,Whisper: Tracing the Spatiotemporal Process of Information Diffusion in Real Time,6,David Lazer,4,middle,https://openalex.org/A2082712981,https://orcid.org/0000-0002-7991-9110,1.0,Northeastern University," Northeastern University , Boston, MA, USA.",https://openalex.org/I12912129,https://ror.org/04t5xt781,education,US
2012,10.1109/TVCG.2012.291,Whisper: Tracing the Spatiotemporal Process of Information Diffusion in Real Time,6,Shixia Liu,5,middle,https://openalex.org/A2111177146,https://orcid.org/0000-0003-4499-6420,1.0,Microsoft,"[Microsoft Research, Asia, China]",https://openalex.org/I1290206253,https://ror.org/00d0nc645,company,US
2012,10.1109/TVCG.2012.291,Whisper: Tracing the Spatiotemporal Process of Information Diffusion in Real Time,6,Huamin Qu,6,last,https://openalex.org/A2103237498,https://orcid.org/0000-0002-3344-9694,1.0,Hong Kong University of Science and Technology,"Hong Kong University of Science and Technology, Hong Kong , China",https://openalex.org/I200769079,https://ror.org/00q4vv597,education,CN
2013,10.1109/TVCG.2013.196,StoryFlow: Tracking the Evolution of Stories,5,Shixia Liu,1,first,https://openalex.org/A2111177146,https://orcid.org/0000-0003-4499-6420,1.0,Microsoft Research Asia, Microsoft Research Asia,https://openalex.org/I4210113369,https://ror.org/0300m5276,company,CN
2013,10.1109/TVCG.2013.196,StoryFlow: Tracking the Evolution of Stories,5,Yingcai Wu,2,middle,https://openalex.org/A2101266097,https://orcid.org/0000-0002-1119-3237,1.0,Microsoft Research Asia, Microsoft Research Asia,https://openalex.org/I4210113369,https://ror.org/0300m5276,company,CN
2013,10.1109/TVCG.2013.196,StoryFlow: Tracking the Evolution of Stories,5,Enxun Wei,3,middle,https://openalex.org/A2098295389,,1.0,Shanghai Jiao Tong University,"Shanghai Jiao-Tong University, Shanghai, China",https://openalex.org/I183067930,https://ror.org/0220qvk04,education,CN
2013,10.1109/TVCG.2013.196,StoryFlow: Tracking the Evolution of Stories,5,Mengchen Liu,4,middle,https://openalex.org/A2629762833,https://orcid.org/0000-0003-4499-6420,1.0,Tsinghua University,"Tsinghua University, Beijing China#TAB#",https://openalex.org/I99065089,https://ror.org/03cve4549,education,CN
2013,10.1109/TVCG.2013.196,StoryFlow: Tracking the Evolution of Stories,5,Yang Liu,5,last,https://openalex.org/A2974410637,https://orcid.org/0000-0003-4499-6420,1.0,Microsoft Research Asia, Microsoft Research Asia,https://openalex.org/I4210113369,https://ror.org/0300m5276,company,CN
1996,10.1109/VISUAL.1996.567595,Anatomy-based facial tissue modeling using the finite element method,4,Erwin Keeve,1,first,https://openalex.org/A2204334965,,1.0,University of Erlangen-Nuremberg,"Telecommunications Institute, University of Erlangen-Nuremberg#TAB#",https://openalex.org/I181369854,https://ror.org/00f7hpc57,education,DE
1996,10.1109/VISUAL.1996.567595,Anatomy-based facial tissue modeling using the finite element method,4,Sabine Girod,2,middle,https://openalex.org/A688476651,https://orcid.org/0000-0002-6974-6076,1.0,University of Erlangen-Nuremberg,"Telecommunications Institute, University of Erlangen-Nuremberg#TAB#",https://openalex.org/I181369854,https://ror.org/00f7hpc57,education,DE
1996,10.1109/VISUAL.1996.567595,Anatomy-based facial tissue modeling using the finite element method,4,Paula Pfeifle,3,middle,https://openalex.org/A2633720678,,,,,,,,
1996,10.1109/VISUAL.1996.567595,Anatomy-based facial tissue modeling using the finite element method,4,Bernd Girod,4,last,https://openalex.org/A263819940,https://orcid.org/0000-0001-6950-1020,1.0,University of Erlangen-Nuremberg,University of Erlangen Nuremberg,https://openalex.org/I181369854,https://ror.org/00f7hpc57,education,DE
2001,10.1109/INFVIS.2001.963287,Interactive visualization of multiple query results,5,Susan L. Havre,1,first,https://openalex.org/A3182372061,,1.0,Battelle,Battelle Pacific Northwest Division,https://openalex.org/I1325736334,https://ror.org/01h5tnr73,nonprofit,US
2001,10.1109/INFVIS.2001.963287,Interactive visualization of multiple query results,5,Elizabeth G. Hetzler,2,middle,https://openalex.org/A2111235538,,,,,,,,
2001,10.1109/INFVIS.2001.963287,Interactive visualization of multiple query results,5,Kenneth A. Perrine,3,middle,https://openalex.org/A2230132704,,,,,,,,
2001,10.1109/INFVIS.2001.963287,Interactive visualization of multiple query results,5,Elizabeth Jurrus,4,middle,https://openalex.org/A1991837433,,,,,,,,
2001,10.1109/INFVIS.2001.963287,Interactive visualization of multiple query results,5,Nancy E. Miller,5,last,https://openalex.org/A2974911548,,,,,,,,
2001,10.1109/INFVIS.2001.963290,A comparison of 2-D visualizations of hierarchies,2,T. Barlow,1,first,https://openalex.org/A2287639778,,1.0,SAS Institute,SAS Institute Inc,https://openalex.org/I122754148,https://ror.org/01093z329,company,US
2001,10.1109/INFVIS.2001.963290,A comparison of 2-D visualizations of hierarchies,2,P. Neville,2,last,https://openalex.org/A2973388040,,,,,,,,
2005,10.1109/VISUAL.2005.1532792,Query-driven visualization of large data sets,4,Kurt Stockinger,1,first,https://openalex.org/A2463969832,https://orcid.org/0000-0003-4034-4812,1.0,Lawrence Berkeley National Laboratory,"Computational Res. Div., Lawrence Berkeley Lab., CA, USA",https://openalex.org/I148283060,https://ror.org/02jbv0t02,facility,US
2005,10.1109/VISUAL.2005.1532792,Query-driven visualization of large data sets,4,John Shalf,2,middle,https://openalex.org/A277778480,https://orcid.org/0000-0002-0608-3690,1.0,Lawrence Berkeley National Laboratory,"Computational Res. Div., Lawrence Berkeley Lab., CA, USA",https://openalex.org/I148283060,https://ror.org/02jbv0t02,facility,US
2005,10.1109/VISUAL.2005.1532792,Query-driven visualization of large data sets,4,Kesheng Wu,3,middle,https://openalex.org/A2152841419,https://orcid.org/0000-0002-6907-3393,1.0,Lawrence Berkeley National Laboratory,"Computational Res. Div., Lawrence Berkeley Lab., CA, USA",https://openalex.org/I148283060,https://ror.org/02jbv0t02,facility,US
2005,10.1109/VISUAL.2005.1532792,Query-driven visualization of large data sets,4,E.W. Bethel,4,last,https://openalex.org/A1853018536,,1.0,Lawrence Berkeley National Laboratory,"Computational Res. Div., Lawrence Berkeley Lab., CA, USA",https://openalex.org/I148283060,https://ror.org/02jbv0t02,facility,US
2008,10.1109/VAST.2008.4677365,Characterizing users' visual analytic activity for insight provenance,2,David Gotz,1,first,https://openalex.org/A2149494377,https://orcid.org/0000-0002-6424-7374,1.0,IBM,"IBM Research, Hawthorne, New York#TAB#",https://openalex.org/I1341412227,https://ror.org/05hh8d621,company,US
2008,10.1109/VAST.2008.4677365,Characterizing users' visual analytic activity for insight provenance,2,Michelle X. Zhou,2,last,https://openalex.org/A2305970137,,1.0,IBM,"IBM Research, Hawthorne, New York#TAB#",https://openalex.org/I1341412227,https://ror.org/05hh8d621,company,US
2009,10.1109/TVCG.2009.114,A User Study to Compare Four Uncertainty Visualization Methods for 1D and 2D Datasets,5,Jibonananda Sanyal,1,first,https://openalex.org/A2138048830,https://orcid.org/0000-0002-7789-3199,1.0,Mississippi State University,"Geosystems Res. Inst., Mississippi State Univ., Starkville, MS, USA",https://openalex.org/I99041443,https://ror.org/0432jq872,education,US
2009,10.1109/TVCG.2009.114,A User Study to Compare Four Uncertainty Visualization Methods for 1D and 2D Datasets,5,Song Zhang,2,middle,https://openalex.org/A2257265516,,1.0,Mississippi State University,"Computer Science and Engineering Department, Mississippi State University, Starkville, MS, USA",https://openalex.org/I99041443,https://ror.org/0432jq872,education,US
2009,10.1109/TVCG.2009.114,A User Study to Compare Four Uncertainty Visualization Methods for 1D and 2D Datasets,5,Gargi Bhattacharya,3,middle,https://openalex.org/A2668722423,,1.0,Southern Illinois University Carbondale,"Dept. of Psychol., Southern Illinois Univ. - Carbondale, Carbondale, IL, USA",https://openalex.org/I110378019,https://ror.org/049kefs16,education,US
2009,10.1109/TVCG.2009.114,A User Study to Compare Four Uncertainty Visualization Methods for 1D and 2D Datasets,5,P. Amburn,4,middle,https://openalex.org/A2058186078,,1.0,Mississippi State University,"Geosystems Res. Inst., Mississippi State Univ., Starkville, MS, USA",https://openalex.org/I99041443,https://ror.org/0432jq872,education,US
2009,10.1109/TVCG.2009.114,A User Study to Compare Four Uncertainty Visualization Methods for 1D and 2D Datasets,5,Robert J. Moorhead,5,last,https://openalex.org/A2143063412,https://orcid.org/0000-0002-4642-7873,1.0,Mississippi State University,"Geosystems Res. Inst., Mississippi State Univ., Starkville, MS, USA",https://openalex.org/I99041443,https://ror.org/0432jq872,education,US
2012,10.1109/TVCG.2012.212,Design Considerations for Optimizing Storyline Visualizations,2,Yuzuru Tanahashi,1,first,https://openalex.org/A2027659215,,1.0,"University of California, Davis","ViDi Res. Group, Univ. of California, Davis, CA, USA",https://openalex.org/I84218800,https://ror.org/05rrcem69,education,US
2012,10.1109/TVCG.2012.212,Design Considerations for Optimizing Storyline Visualizations,2,Kwan-Liu Ma,2,last,https://openalex.org/A2122423217,https://orcid.org/0000-0001-8086-0366,1.0,"University of California, Davis","ViDi Res. Group, Univ. of California, Davis, CA, USA",https://openalex.org/I84218800,https://ror.org/05rrcem69,education,US
1997,10.1109/INFVIS.1997.636784,On integrating visualization techniques for effective software exploration,4,Margaret-Anne Storey,1,first,https://openalex.org/A2123850919,https://orcid.org/0000-0003-2278-2536,1.0,Simon Fraser University,"School of Computer Science, Simon Fraser University, Burnaby BC, Canada",https://openalex.org/I18014758,https://ror.org/0213rcc28,education,CA
1997,10.1109/INFVIS.1997.636784,On integrating visualization techniques for effective software exploration,4,K. Wong,2,middle,https://openalex.org/A2936394492,,,,,,,,
1997,10.1109/INFVIS.1997.636784,On integrating visualization techniques for effective software exploration,4,F.D. Fracchia,3,middle,https://openalex.org/A2672820357,,,,,,,,
1997,10.1109/INFVIS.1997.636784,On integrating visualization techniques for effective software exploration,4,Hausi A. Müller,4,last,https://openalex.org/A2142848257,,,,,,,,
1998,10.1109/VISUAL.1998.745300,View dependent isosurface extraction,2,Yarden Livnat,1,first,https://openalex.org/A37046778,,1.0,University of Utah,"Utah Univ., Salt Lake City, UT, USA#TAB#",https://openalex.org/I223532165,https://ror.org/03r0ha626,education,US
1998,10.1109/VISUAL.1998.745300,View dependent isosurface extraction,2,Charles Hansen,2,last,https://openalex.org/A2059591427,,1.0,University of Utah,"University of Utah , Salt Lake City",https://openalex.org/I223532165,https://ror.org/03r0ha626,education,US
2002,10.1109/VISUAL.2002.1183799,Oriented tensor reconstruction: tracing neural pathways from diffusion tensor MRI,2,Leonid Zhukov,1,first,https://openalex.org/A2128415670,https://orcid.org/0000-0003-2604-1057,1.0,California Institute of Technology,"Department of Computer Science, California Institute of Technology, Pasadena, CA, USA.",https://openalex.org/I122411786,https://ror.org/05dxps055,education,US
2002,10.1109/VISUAL.2002.1183799,Oriented tensor reconstruction: tracing neural pathways from diffusion tensor MRI,2,Alan H. Barr,2,last,https://openalex.org/A1970116039,,1.0,California Institute of Technology,"Department of Computer Science, California Institute of Technology, Pasadena, CA, USA.",https://openalex.org/I122411786,https://ror.org/05dxps055,education,US
2003,10.1109/VISUAL.2003.1250364,Image space based visualization of unsteady flow on surfaces,3,Robert S. Laramee,1,first,https://openalex.org/A720721530,https://orcid.org/0000-0002-3874-6145,1.0,VRVis,"VRVis Research Center, Graz, Austria",https://openalex.org/I1343190059,https://ror.org/02xyxvc90,company,AT
2003,10.1109/VISUAL.2003.1250364,Image space based visualization of unsteady flow on surfaces,3,Bruno Jobard,2,middle,https://openalex.org/A2275943171,,1.0,University of Pau and Pays de l'Adour,University of Pau#TAB#,https://openalex.org/I144889574,https://ror.org/01frn9647,education,FR
2003,10.1109/VISUAL.2003.1250364,Image space based visualization of unsteady flow on surfaces,3,Helwig Hauser,3,last,https://openalex.org/A2138458960,,1.0,VRVis,", VRVis Research Center",https://openalex.org/I1343190059,https://ror.org/02xyxvc90,company,AT
2003,10.1109/VISUAL.2003.1250408,Large mesh simplification using processing sequences,4,Martin Isenburg,1,first,https://openalex.org/A2209414491,,1.0,University of North Carolina at Chapel Hill,"[North Carolina Univ., Chapel Hill, NC, USA]",https://openalex.org/I114027177,https://ror.org/0130frc33,education,US
2003,10.1109/VISUAL.2003.1250408,Large mesh simplification using processing sequences,4,Peter Lindstrom,2,middle,https://openalex.org/A2278655031,https://orcid.org/0000-0003-3817-4199,1.0,Lawrence Livermore National Laboratory,Lawrence livermore National Laboratory,https://openalex.org/I1282311441,https://ror.org/041nk4h53,facility,US
2003,10.1109/VISUAL.2003.1250408,Large mesh simplification using processing sequences,4,Stefan Gumhold,3,middle,https://openalex.org/A133076123,,1.0,University of Tübingen,University of Tübingen,https://openalex.org/I8087733,https://ror.org/03a1kwz48,education,DE
2003,10.1109/VISUAL.2003.1250408,Large mesh simplification using processing sequences,4,Jack Snoeyink,4,last,https://openalex.org/A2029765619,,1.0,University of North Carolina at Chapel Hill,University of North Carolina at Chapel Hill#TAB#,https://openalex.org/I114027177,https://ror.org/0130frc33,education,US
2008,10.1109/TVCG.2008.121,Distributed Cognition as a Theoretical Framework for Information Visualization,3,Zhicheng Liu,1,first,https://openalex.org/A2110342502,,1.0,Georgia Institute of Technology,"Sch. of Interactive Comput., Georgia Inst. of Technol., Atlanta, GA",https://openalex.org/I130701444,https://ror.org/01zkghx44,education,US
2008,10.1109/TVCG.2008.121,Distributed Cognition as a Theoretical Framework for Information Visualization,3,Nancy J. Nersessian,2,middle,https://openalex.org/A373752680,,1.0,Georgia Institute of Technology,#N#‡#N#Georgia Institute of Technology#N#,https://openalex.org/I130701444,https://ror.org/01zkghx44,education,US
2008,10.1109/TVCG.2008.121,Distributed Cognition as a Theoretical Framework for Information Visualization,3,John Stasko,3,last,https://openalex.org/A2087252583,https://orcid.org/0000-0003-4129-7659,1.0,Georgia Institute of Technology,#N#‡#N#Georgia Institute of Technology#N#,https://openalex.org/I130701444,https://ror.org/01zkghx44,education,US
2011,10.1109/TVCG.2011.181,Composite Density Maps for Multivariate Trajectories,6,Roeland Scheepens,1,first,https://openalex.org/A796033755,https://orcid.org/0000-0003-4974-7036,1.0,Eindhoven University of Technology,"Eindhoven University of Technology, Eindhoven, NETHERLANDS",https://openalex.org/I83019370,https://ror.org/02c2kyt77,education,NL
2011,10.1109/TVCG.2011.181,Composite Density Maps for Multivariate Trajectories,6,Niels Willems,2,middle,https://openalex.org/A2120306941,,1.0,Eindhoven University of Technology,"Eindhoven University of Technology, Eindhoven, NETHERLANDS",https://openalex.org/I83019370,https://ror.org/02c2kyt77,education,NL
2011,10.1109/TVCG.2011.181,Composite Density Maps for Multivariate Trajectories,6,H. van de Wetering,3,middle,https://openalex.org/A2103955454,,1.0,Eindhoven University of Technology,"Eindhoven University of Technology, Eindhoven, NETHERLANDS",https://openalex.org/I83019370,https://ror.org/02c2kyt77,education,NL
2011,10.1109/TVCG.2011.181,Composite Density Maps for Multivariate Trajectories,6,Gennady Andrienko,4,middle,https://openalex.org/A237265413,https://orcid.org/0000-0002-8574-6295,1.0,Fraunhofer Society,"[Fraunhofer Institute IAIS, Germany]",https://openalex.org/I4923324,https://ror.org/05hkkdn48,government,DE
2011,10.1109/TVCG.2011.181,Composite Density Maps for Multivariate Trajectories,6,Natalia Andrienko,5,middle,https://openalex.org/A1983982202,https://orcid.org/0000-0002-8574-6295,1.0,Fraunhofer Society,"[Fraunhofer Institute IAIS, Germany]",https://openalex.org/I4923324,https://ror.org/05hkkdn48,government,DE
2011,10.1109/TVCG.2011.181,Composite Density Maps for Multivariate Trajectories,6,J.J. van Wijk,6,last,https://openalex.org/A2317229737,,1.0,Fraunhofer Society,"[Fraunhofer Institute IAIS, Germany]",https://openalex.org/I4923324,https://ror.org/05hkkdn48,government,DE
2011,10.1109/VAST.2011.6102449,Observation-level interaction with statistical models for visual analytics,6,Alex Endert,1,first,https://openalex.org/A272170598,https://orcid.org/0000-0002-6914-610X,1.0,Virginia Tech,"Dept. of Computer Science, Virginia Tech, USA",https://openalex.org/I859038795,https://ror.org/02smfhw86,education,US
2011,10.1109/VAST.2011.6102449,Observation-level interaction with statistical models for visual analytics,6,Chao Han,2,middle,https://openalex.org/A2298682967,,1.0,Virginia Tech,"Department of Statistics, Virginia Tech, #N#USA",https://openalex.org/I859038795,https://ror.org/02smfhw86,education,US
2011,10.1109/VAST.2011.6102449,Observation-level interaction with statistical models for visual analytics,6,Dipayan Maiti,3,middle,https://openalex.org/A2099682098,,1.0,Virginia Tech,"Department of Statistics, Virginia Tech, #N#USA",https://openalex.org/I859038795,https://ror.org/02smfhw86,education,US
2011,10.1109/VAST.2011.6102449,Observation-level interaction with statistical models for visual analytics,6,Leanna House,4,middle,https://openalex.org/A2131421683,,1.0,Virginia Tech,"Department of Statistics, Virginia Tech, #N#USA",https://openalex.org/I859038795,https://ror.org/02smfhw86,education,US
2011,10.1109/VAST.2011.6102449,Observation-level interaction with statistical models for visual analytics,6,Scotland Leman,5,middle,https://openalex.org/A2048268422,https://orcid.org/0000-0003-3138-8397,1.0,Virginia Tech,"Department of Statistics, Virginia Tech, #N#USA",https://openalex.org/I859038795,https://ror.org/02smfhw86,education,US
2011,10.1109/VAST.2011.6102449,Observation-level interaction with statistical models for visual analytics,6,Chris North,6,last,https://openalex.org/A2157611257,https://orcid.org/0000-0002-8786-7103,1.0,Virginia Tech,"Dept. of Computer Science, Virginia Tech, USA",https://openalex.org/I859038795,https://ror.org/02smfhw86,education,US
2013,10.1109/TVCG.2013.162,HierarchicalTopics: Visually Exploring Large Text Collections Using Topic Hierarchies,5,Wenwen Dou,1,first,https://openalex.org/A2157271971,https://orcid.org/0000-0003-0319-9484,1.0,University of North Carolina at Charlotte,"University of North Carolina at Charlotte,Charlotte,NC,USA",https://openalex.org/I102149020,https://ror.org/04dawnj30,education,US
2013,10.1109/TVCG.2013.162,HierarchicalTopics: Visually Exploring Large Text Collections Using Topic Hierarchies,5,Li Yu,2,middle,https://openalex.org/A2304217379,,1.0,University of North Carolina at Charlotte,"University of North Carolina at Charlotte,Charlotte,NC,USA",https://openalex.org/I102149020,https://ror.org/04dawnj30,education,US
2013,10.1109/TVCG.2013.162,HierarchicalTopics: Visually Exploring Large Text Collections Using Topic Hierarchies,5,Xiaoyu Wang,3,middle,https://openalex.org/A3210620046,,1.0,University of North Carolina at Charlotte,"University of North Carolina at Charlotte,Charlotte,NC,USA",https://openalex.org/I102149020,https://ror.org/04dawnj30,education,US
2013,10.1109/TVCG.2013.162,HierarchicalTopics: Visually Exploring Large Text Collections Using Topic Hierarchies,5,Zhiqiang Ma,4,middle,https://openalex.org/A2619745619,,1.0,University of North Carolina at Charlotte,"University of North Carolina at Charlotte,Charlotte,NC,USA",https://openalex.org/I102149020,https://ror.org/04dawnj30,education,US
2013,10.1109/TVCG.2013.162,HierarchicalTopics: Visually Exploring Large Text Collections Using Topic Hierarchies,5,William Ribarsky,5,last,https://openalex.org/A1992120996,,1.0,University of North Carolina at Charlotte,"University of North Carolina at Charlotte,Charlotte,NC,USA",https://openalex.org/I102149020,https://ror.org/04dawnj30,education,US
1991,10.1109/VISUAL.1991.175795,Color icons: merging color and texture perception for integrated visualization of multiple parameters,1,H. Levkowitz,1,first,https://openalex.org/A4275652134,,,,,,,,
1992,10.1109/VISUAL.1992.235203,A characterization of the scientific data analysis process,3,Rebecca R. Springmeyer,1,first,https://openalex.org/A3053861155,,1.0,"University of California, Davis","University of California, Davis L-301, Livermore, California",https://openalex.org/I84218800,https://ror.org/05rrcem69,education,US
1992,10.1109/VISUAL.1992.235203,A characterization of the scientific data analysis process,3,Meera M. Blattner,2,middle,https://openalex.org/A1226192804,,1.0,"University of California, Davis","University of California, Davis L-301, Livermore, California",https://openalex.org/I84218800,https://ror.org/05rrcem69,education,US
1992,10.1109/VISUAL.1992.235203,A characterization of the scientific data analysis process,3,Nelson Max,3,last,https://openalex.org/A2189376613,https://orcid.org/0000-0003-0346-839X,1.0,"University of California, Davis","University of California, Davis L-301, Livermore, California",https://openalex.org/I84218800,https://ror.org/05rrcem69,education,US
1998,10.1109/INFVIS.1998.729563,Geographic visualization: designing manipulable maps for exploring temporally varying georeferenced statistics,4,Alan M. MacEachren,1,first,https://openalex.org/A192858880,https://orcid.org/0000-0002-0356-7323,1.0,Pennsylvania State University,"[Dept. of Geogr., Pennsylvania State Univ., University Park, PA, USA]",https://openalex.org/I130769515,https://ror.org/04p491231,education,US
1998,10.1109/INFVIS.1998.729563,Geographic visualization: designing manipulable maps for exploring temporally varying georeferenced statistics,4,Francis P. Boscoe,2,middle,https://openalex.org/A1858507817,,1.0,Pennsylvania State University,Pennsylvania State University,https://openalex.org/I130769515,https://ror.org/04p491231,education,US
1998,10.1109/INFVIS.1998.729563,Geographic visualization: designing manipulable maps for exploring temporally varying georeferenced statistics,4,Daniel Haug,3,middle,https://openalex.org/A2077694035,,1.0,Pennsylvania State University,Pennsylvania State University,https://openalex.org/I130769515,https://ror.org/04p491231,education,US
1998,10.1109/INFVIS.1998.729563,Geographic visualization: designing manipulable maps for exploring temporally varying georeferenced statistics,4,Linda Williams Pickle,4,last,https://openalex.org/A1983042221,,1.0,Geography,Geography,,,,
2003,10.1109/VISUAL.2003.1250388,Empty space skipping and occlusion clipping for texture-based volume rendering,3,Wei Li,1,first,https://openalex.org/A2488569371,,1.0,Stony Brook University,"Department of Computer Science, Stony Brook University, NY, USA#TAB#",https://openalex.org/I59553526,https://ror.org/05qghxh33,education,US
2003,10.1109/VISUAL.2003.1250388,Empty space skipping and occlusion clipping for texture-based volume rendering,3,Klaus Mueller,2,middle,https://openalex.org/A2162237831,https://orcid.org/0000-0002-0996-8590,1.0,Stony Brook University,"Department of Computer Science, Stony Brook University, NY, USA#TAB#",https://openalex.org/I59553526,https://ror.org/05qghxh33,education,US
2003,10.1109/VISUAL.2003.1250388,Empty space skipping and occlusion clipping for texture-based volume rendering,3,Arie E. Kaufman,3,last,https://openalex.org/A2132849971,https://orcid.org/0000-0002-0796-6196,1.0,Stony Brook University,"Department of Computer Science, Stony Brook University, NY, USA#TAB#",https://openalex.org/I59553526,https://ror.org/05qghxh33,education,US
2003,10.1109/VISUAL.2003.1250401,Video visualization,2,G. Daniel,1,first,https://openalex.org/A2128565416,,1.0,Swansea University,"Univ. of Wales Swansea, UK",https://openalex.org/I39586589,https://ror.org/053fq8t95,education,GB
