Year,DOI,IEEE Title,Title on Google Scholar,Citation Link,Citation Counts on Google Scholar
2011,10.1109/TVCG.2011.185,D³ Data-Driven Documents,D³ data-driven documents,"https://scholar.google.com/scholar?cites=14037303596366007867&as_sdt=5,50&sciodt=0,50&hl=en",3593
1991,10.1109/VISUAL.1991.175815,Tree-maps: a space-filling approach to the visualization of hierarchical information structures,Tree-maps: A space filling approach to the visualization of hierarchical information structures,"https://scholar.google.com/scholar?cites=8728370191138426368&as_sdt=5,50&sciodt=0,50&hl=en",2192
1990,10.1109/VISUAL.1990.146402,Parallel coordinates: a tool for visualizing multi-dimensional geometry,Parallel coordinates: a tool for visualizing multi-dimensional geometry,"https://scholar.google.com/scholar?cites=13069888280926240365&as_sdt=5,50&sciodt=0,50&hl=en",1703
2006,10.1109/TVCG.2006.147,Hierarchical Edge Bundles: Visualization of Adjacency Relations in Hierarchical Data,Hierarchical edge bundles: Visualization of adjacency relations in hierarchical data,"https://scholar.google.com/scholar?cites=14546409358105746773&as_sdt=5,50&sciodt=0,50&hl=en",1363
1997,10.1109/VISUAL.1997.663860,ROAMing terrain: Real-time Optimally Adapting Meshes,ROAMing terrain: Real-time optimally adapting meshes,"https://scholar.google.com/scholar?cites=18247334936761334274&as_sdt=5,50&sciodt=0,50&hl=en",1408
2003,10.1109/VISUAL.2003.1250384,Acceleration techniques for GPU-based volume rendering,[PDF] Acceleration techniques for GPU-based volume rendering,"https://scholar.google.com/scholar?cites=8903986240433633995&as_sdt=5,50&sciodt=0,50&hl=en",1289
2002,10.1109/VISUAL.2002.1183771,Efficient simplification of point-sampled surfaces,Efficient simplification of point-sampled surfaces,"https://scholar.google.com/scholar?cites=12266501521749144702&as_sdt=5,50&sciodt=0,50&hl=en",1324
2005,10.1109/INFVIS.2005.1532126,Vizster: visualizing online social networks,Vizster: Visualizing online social networks,"https://scholar.google.com/scholar?cites=1622274818836572238&as_sdt=5,50&sciodt=0,50&hl=en",1024
2001,10.1109/VISUAL.2001.964489,Point set surfaces,Point set surfaces,"https://scholar.google.com/scholar?cites=2477161110830860410&as_sdt=5,50&sciodt=0,50&hl=en",1069
2007,10.1109/TVCG.2007.70577,ManyEyes: a Site for Visualization at Internet Scale,Manyeyes: a site for visualization at internet scale,"https://scholar.google.com/scholar?cites=11410968548255562534&as_sdt=5,50&sciodt=0,50&hl=en",990
1995,10.1109/INFVIS.1995.528686,Visualizing the non-visual: spatial analysis and interaction with information from text documents,Visualizing the non-visual: Spatial analysis and interaction with information from text documents,"https://scholar.google.com/scholar?cites=7635559845774242054&as_sdt=5,50&sciodt=0,50&hl=en",904
2007,10.1109/TVCG.2007.70515,Toward a Deeper Understanding of the Role of Interaction in Information Visualization,Toward a deeper understanding of the role of interaction in information visualization,"https://scholar.google.com/scholar?cites=15366500590983790455&as_sdt=5,50&sciodt=0,50&hl=en",1108
2000,10.1109/INFVIS.2000.885086,"Polaris: a system for query, analysis and visualization of multi-dimensional relational databases","Polaris: A system for query, analysis, and visualization of multidimensional relational databases","https://scholar.google.com/scholar?cites=16493962604029080055&as_sdt=5,50&sciodt=0,50&hl=en",1029
1998,10.1109/VISUAL.1998.745282,Smooth view-dependent level-of-detail control and its application to terrain rendering,Smooth view-dependent level-of-detail control and its application to terrain rendering,"https://scholar.google.com/scholar?cites=3558196288374717811&as_sdt=5,50&sciodt=0,50&hl=en",1031
1991,10.1109/VISUAL.1991.175782,The asymptotic decider: resolving the ambiguity in marching cubes,[BOOK] The asymptotic decider: Rosolving the ambiguity in marching cubes,"https://scholar.google.com/scholar?cites=5907355979156136603&as_sdt=5,50&sciodt=0,50&hl=en",855
2010,10.1109/TVCG.2010.179,Narrative Visualization: Telling Stories with Data,Narrative visualization: Telling stories with data,"https://scholar.google.com/scholar?cites=11881351741225675053&as_sdt=5,50&sciodt=0,50&hl=en",1287
1998,10.1109/VISUAL.1998.745312,Simplifying surfaces with color and texture using quadric error metrics,Simplifying surfaces with color and texture using quadric error metrics,"https://scholar.google.com/scholar?cites=6432425854878937154&as_sdt=5,50&sciodt=0,50&hl=en",728
2009,10.1109/TVCG.2009.111,A Nested Model for Visualization Design and Validation,A nested model for visualization design and validation,"https://scholar.google.com/scholar?cites=5616564847998457828&as_sdt=5,50&sciodt=0,50&hl=en",964
1994,10.1109/VISUAL.1994.346302,XmdvTool: integrating multiple methods for visualizing multivariate data,Xmdvtool: Integrating multiple methods for visualizing multivariate data,"https://scholar.google.com/scholar?cites=6642891061503918293&as_sdt=5,50&sciodt=0,50&hl=en",628
2000,10.1109/INFVIS.2000.885092,A taxonomy of visualization techniques using the data state reference model,A taxonomy of visualization techniques using the data state reference model,"https://scholar.google.com/scholar?cites=10267369503795626328&as_sdt=5,50&sciodt=0,50&hl=en",833
2007,10.1109/TVCG.2007.70582,NodeTrix: a Hybrid Visualization of Social Networks,NodeTrix: a hybrid visualization of social networks,"https://scholar.google.com/scholar?cites=2796119487895648795&as_sdt=5,50&sciodt=0,50&hl=en",658
1999,10.1109/VISUAL.1999.809866,Hierarchical parallel coordinates for exploration of large datasets,[BOOK] Hierarchical parallel coordinates for exploration of large datasets,"https://scholar.google.com/scholar?cites=2538984025087536536&as_sdt=5,50&sciodt=0,50&hl=en",631
2007,10.1109/VAST.2007.4389006,Jigsaw: Supporting Investigative Analysis through Interactive Visualization,Jigsaw: supporting investigative analysis through interactive visualization,"https://scholar.google.com/scholar?cites=14132391830760640285&as_sdt=5,50&sciodt=0,50&hl=en",731
2001,10.1109/VISUAL.2001.964519,Interactive volume rendering using multi-dimensional transfer functions and direct manipulation widgets,Interactive volume rendering using multi-dimensional transfer functions and direct manipulation widgets,"https://scholar.google.com/scholar?cites=12037407255499306266&as_sdt=5,50&sciodt=0,50&hl=en",572
2014,10.1109/TVCG.2014.2346248,UpSet: Visualization of Intersecting Sets,UpSet: visualization of intersecting sets,"https://scholar.google.com/scholar?cites=9972976116059357389&as_sdt=5,50&sciodt=0,50&hl=en",1082
2005,10.1109/INFVIS.2005.1532136,Low-level components of analytic activity in information visualization,Low-level components of analytic activity in information visualization,"https://scholar.google.com/scholar?cites=15801769902795324766&as_sdt=5,50&sciodt=0,50&hl=en",788
2000,10.1109/INFVIS.2000.885098,ThemeRiver: visualizing theme changes over time,ThemeRiver: Visualizing theme changes over time,"https://scholar.google.com/scholar?cites=13799607400654812118&as_sdt=5,50&sciodt=0,50&hl=en",646
2003,10.1109/VISUAL.2003.1250414,Curvature-based transfer functions for direct volume rendering: methods and applications,Curvature-based transfer functions for direct volume rendering: Methods and applications,"https://scholar.google.com/scholar?cites=16689787346587224945&as_sdt=5,50&sciodt=0,50&hl=en",573
2000,10.1109/INFVIS.2000.885091,"Focus+context display and navigation techniques for enhancing radial, space-filling hierarchy visualizations","Focus+ context display and navigation techniques for enhancing radial, space-filling hierarchy visualizations","https://scholar.google.com/scholar?cites=6971817879531025223&as_sdt=5,50&sciodt=0,50&hl=en",617
1999,10.1109/INFVIS.1999.801851,Cluster and calendar based visualization of time series data,Cluster and calendar based visualization of time series data,"https://scholar.google.com/scholar?cites=5999373273246245252&as_sdt=5,50&sciodt=0,50&hl=en",631
1999,10.1109/VISUAL.1999.809869,New quadric metric for simplifying meshes with appearance attributes,New quadric metric for simplifying meshes with appearance attributes,"https://scholar.google.com/scholar?cites=945819171948978032&as_sdt=5,50&sciodt=0,50&hl=en",581
1999,10.1109/VISUAL.1999.809883,Multi-projector displays using camera-based registration,Multi-projector displays using camera-based registration,"https://scholar.google.com/scholar?cites=4775243012157864248&as_sdt=5,50&sciodt=0,50&hl=en",515
1996,10.1109/VISUAL.1996.568108,A haptic interaction method for volume visualization,A haptic interaction method for volume visualization,"https://scholar.google.com/scholar?cites=7233622545248862535&as_sdt=5,50&sciodt=0,50&hl=en",438
2002,10.1109/INFVIS.2002.1173148,"SpaceTree: supporting exploration in large node link tree, design evolution and empirical evaluation","Spacetree: Supporting exploration in large node link tree, design evolution and empirical evaluation","https://scholar.google.com/scholar?cites=4329801226645440553&as_sdt=5,50&sciodt=0,50&hl=en",512
2007,10.1109/TVCG.2007.70539,Animated Transitions in Statistical Data Graphics,Animated transitions in statistical data graphics,"https://scholar.google.com/scholar?cites=4558997003794724555&as_sdt=5,50&sciodt=0,50&hl=en",575
2008,10.1109/TVCG.2008.153,Rolling the Dice: Multidimensional Visual Exploration using Scatterplot Matrix Navigation,Rolling the dice: Multidimensional visual exploration using scatterplot matrix navigation,"https://scholar.google.com/scholar?cites=2147668568038570813&as_sdt=5,50&sciodt=0,50&hl=en",534
1998,10.1109/VISUAL.1998.745280,Large scale terrain visualization using the restricted quadtree triangulation,Large scale terrain visualization using the restricted quadtree triangulation,"https://scholar.google.com/scholar?cites=1139834855422131515&as_sdt=5,50&sciodt=0,50&hl=en",529
