Error URL,Error Status Code
https://openalex.org/W2136728939,404
https://openalex.org/W1923278317,404
https://openalex.org/W2203093725,404
https://openalex.org/W2201422517,404
https://openalex.org/W1958088609,404
https://openalex.org/W1772442383,404
https://openalex.org/W1778906816,404
https://openalex.org/W1485859866,404
https://openalex.org/W1844592584,404
https://openalex.org/W1757697348,404
https://openalex.org/W1812469960,404
https://openalex.org/W2109182788,404
https://openalex.org/W1487247803,404
https://openalex.org/W2142846814,404
https://openalex.org/W2266998751,404
https://openalex.org/W1555707114,404
https://openalex.org/W937055896,404
https://openalex.org/W1948083161,404
https://openalex.org/W1041070913,404
https://openalex.org/W1500151297,404
https://openalex.org/W2396882402,404
https://openalex.org/W2029507661,404
https://openalex.org/W169045443,404
https://openalex.org/W2797816625,404
https://openalex.org/W2911034854,404
https://openalex.org/W1616938192,404
https://openalex.org/W2773725776,404
https://openalex.org/W3151165723,404
https://openalex.org/W2770298516,404
https://openalex.org/W1523495749,404
https://openalex.org/W1628722426,404
https://openalex.org/W2066281866,404
https://openalex.org/W2164358366,404
https://openalex.org/W2150381130,404
https://openalex.org/W2170629659,404
https://openalex.org/W3196841826,404
https://openalex.org/W2104241941,404
https://openalex.org/W1557379162,404
https://openalex.org/W1985259045,404
https://openalex.org/W1874296627,404
https://openalex.org/W963723781,404
https://openalex.org/W2164903251,404
https://openalex.org/W3144838646,404
https://openalex.org/W939379423,404
https://openalex.org/W1646263093,404
https://openalex.org/W2111664546,404
https://openalex.org/W2249559694,404
https://openalex.org/W1526226104,404
https://openalex.org/W1527514129,404
https://openalex.org/W1519824928,404
https://openalex.org/W1758491086,404
https://openalex.org/W1611953126,404
https://openalex.org/W2164217793,404
https://openalex.org/W1904034175,404
https://openalex.org/W1600996268,404
https://openalex.org/W943888102,404
https://openalex.org/W2294118231,404
https://openalex.org/W1590549688,404
https://openalex.org/W3145050025,404
https://openalex.org/W1994866850,404
https://openalex.org/W2166191070,404
https://openalex.org/W3140512813,404
